order,list,item,condition,target_notional_num,competitor_num,ambiguity,target,competitor,target ID,targetPos,compPos,comp2Pos,destPos,locPhrase,sentence,firstDisplay,secondDisplay,expTrials
14,2,3,4,2,2,ambiguous,tights,melons,6,6,3,,2,below,The tights below the melons are on number 6.,E03_4_1.jpg,E03_4_2.jpg,Y
14,3,3,1,1,1,unambiguous,tights,melon,6,6,3,,2,below,The tights below the melon are on number 6.,E03_1_1.jpg,E03_1_2.jpg,Y
14,4,3,2,1,2,ambiguous,tights,melons,6,6,3,,2,below,The tights below the melons are on number 6.,E03_2_1.jpg,E03_2_2.jpg,Y
15,1,X08,9,,,,,,,2,6,,5,above,"The spoon is on number 2, on the row above the sheep.",X08_9_1.jpg,X08_9_2.jpg,N
15,2,X08,9,,,,,,,2,6,,5,above,"The spoon is on number 2, on the row above the sheep.",X08_9_1.jpg,X08_9_2.jpg,N
15,3,X08,9,,,,,,,2,6,,5,above,"The spoon is on number 2, on the row above the sheep.",X08_9_1.jpg,X08_9_2.jpg,N
15,4,X08,9,,,,,,,2,6,,5,above,"The spoon is on number 2, on the row above the sheep.",X08_9_1.jpg,X08_9_2.jpg,N
16,1,X09,9,,,,,,,6,4,,2,,The delivery man is on the same line of the hand.,X09_9_1.jpg,X09_9_2.jpg,N
16,2,X09,9,,,,,,,6,4,,2,,The delivery man is on the same line of the hand.,X09_9_1.jpg,X09_9_2.jpg,N
16,3,X09,9,,,,,,,6,4,,2,,The delivery man is on the same line of the hand.,X09_9_1.jpg,X09_9_2.jpg,N
16,4,X09,9,,,,,,,6,4,,2,,The delivery man is on the same line of the hand.,X09_9_1.jpg,X09_9_2.jpg,N
17,1,4,4,2,2,ambiguous,glasses,plates,4,3,5,,2,above,The glasses above the plates are on number 3.,E04_4_1.jpg,E04_4_2.jpg,Y
17,2,4,1,1,1,unambiguous,glasses,plate,4,3,5,,2,above,The glasses above the plate are on number 3.,E04_1_1.jpg,E04_1_2.jpg,Y
17,3,4,2,1,2,ambiguous,glasses,plates,4,3,5,,2,above,The glasses above the plates are on number 3.,E04_2_1.jpg,E04_2_2.jpg,Y
17,4,4,3,2,1,unambiguous,glasses,plate,4,3,5,,2,above,The glasses above the plate are on number 3.,E04_3_1.jpg,E04_3_2.jpg,Y
18,1,X10,9,,,,,,,4,6,,5,,"The doll is on number 6, and it is on the same line of the electrician.",X10_9_1.jpg,X10_9_2.jpg,N
18,2,X10,9,,,,,,,4,6,,5,,"The doll is on number 6, and it is on the same line of the electrician.",X10_9_1.jpg,X10_9_2.jpg,N
18,3,X10,9,,,,,,,4,6,,5,,"The doll is on number 6, and it is on the same line of the electrician.",X10_9_1.jpg,X10_9_2.jpg,N
18,4,X10,9,,,,,,,4,6,,5,,"The doll is on number 6, and it is on the same line of the electrician.",X10_9_1.jpg,X10_9_2.jpg,N
19,1,X19,9,,,,,,,5,6,,3,next to,The turtle is on number 5 and it is next to the gardener.,X19_9_1.jpg,X19_9_2.jpg,N
19,2,X19,9,,,,,,,5,6,,3,next to,The turtle is on number 5 and it is next to the gardener.,X19_9_1.jpg,X19_9_2.jpg,N
19,3,X19,9,,,,,,,5,6,,3,next to,The turtle is on number 5 and it is next to the gardener.,X19_9_1.jpg,X19_9_2.jpg,N
19,4,X19,9,,,,,,,5,6,,3,next to,The turtle is on number 5 and it is next to the gardener.,X19_9_1.jpg,X19_9_2.jpg,N
20,1,5,3,2,1,unambiguous,binoculars,pen,2,2,5,,1,above,The binoculars above the pen are on number 2.,E05_3_1.jpg,E05_3_2.jpg,Y
20,2,5,4,2,2,ambiguous,binoculars,pens,2,2,5,,1,above,The binoculars above the pens are on number 2.,E05_4_1.jpg,E05_4_2.jpg,Y
20,3,5,1,1,1,unambiguous,binoculars,pen,2,2,5,,1,above,The binoculars above the pen are on number 2.,E05_1_1.jpg,E05_1_2.jpg,Y
20,4,5,2,1,2,ambiguous,binoculars,pens,2,2,5,,1,above,The binoculars above the pens are on number 2.,E05_2_1.jpg,E05_2_2.jpg,Y
21,1,X51,9,,,,,,,6,1,,5,,On number 6 there is an eagle.,X51_9_1.jpg,X51_9_2.jpg,N
21,2,X51,9,,,,,,,6,1,,5,,On number 6 there is an eagle.,X51_9_1.jpg,X51_9_2.jpg,N
21,3,X51,9,,,,,,,6,1,,5,,On number 6 there is an eagle.,X51_9_1.jpg,X51_9_2.jpg,N
21,4,X51,9,,,,,,,6,1,,5,,On number 6 there is an eagle.,X51_9_1.jpg,X51_9_2.jpg,N
22,1,X68,9,,,,,,,4,6,,2,next to,There is a radiator on the same row of the waitress.,X68_9_1.jpg,X68_9_2.jpg,N
22,2,X68,9,,,,,,,4,6,,2,next to,There is a radiator on the same row of the waitress.,X68_9_1.jpg,X68_9_2.jpg,N
22,3,X68,9,,,,,,,4,6,,2,next to,There is a radiator on the same row of the waitress.,X68_9_1.jpg,X68_9_2.jpg,N
22,4,X68,9,,,,,,,4,6,,2,next to,There is a radiator on the same row of the waitress.,X68_9_1.jpg,X68_9_2.jpg,N
23,1,6,1,1,1,unambiguous,shorts,key,5,3,5,,1,above,The shorts above the key are on number 3.,E06_1_1.jpg,E06_1_2.jpg,Y
23,2,6,2,1,2,ambiguous,shorts,keys,5,3,5,,1,above,The shorts above the keys are on number 3.,E06_2_1.jpg,E06_2_2.jpg,Y
23,3,6,3,2,1,unambiguous,shorts,key,5,3,5,,1,above,The shorts above the key are on number 3.,E06_3_1.jpg,E06_3_2.jpg,Y
23,4,6,4,2,2,ambiguous,shorts,keys,5,3,5,,1,above,The shorts above the keys are on number 3.,E06_4_1.jpg,E06_4_2.jpg,Y
24,1,X11,9,,,,,,,4,3,1,5,below,"The plant is on number 4, on the row below the crocodile and the lighter.",X11_9_1.jpg,X11_9_2.jpg,N
24,2,X11,9,,,,,,,4,3,1,5,below,"The plant is on number 4, on the row below the crocodile and the lighter.",X11_9_1.jpg,X11_9_2.jpg,N
24,3,X11,9,,,,,,,4,3,1,5,below,"The plant is on number 4, on the row below the crocodile and the lighter.",X11_9_1.jpg,X11_9_2.jpg,N
24,4,X11,9,,,,,,,4,3,1,5,below,"The plant is on number 4, on the row below the crocodile and the lighter.",X11_9_1.jpg,X11_9_2.jpg,N
25,1,X16,9,,,,,,,5,,,6,,There is a croissant on number 5.,X16_9_1.jpg,X16_9_2.jpg,N
